station_number,station_name,total_departures,active_days,weekday_departures,weekend_departures,morning_peak_departures,evening_peak_departures,avg_departure_duration_ms,avg_daily_departures,weekend_departure_share,morning_peak_departure_share,evening_peak_departure_share,total_arrivals,active_days_arr,avg_daily_arrivals,net_flow,imbalance_ratio,cluster,recommended_action,pca1,pca2
969.0,"Gower Place , Euston",804.0,30.0,639.0,165.0,90.0,293.0,1036896.9465174129,26.8,0.20522388059701493,0.11194029850746269,0.3644278606965174,815,30,27.166666666666668,11.0,0.006790123456790123,4,Prioritise evening dock relief and destination-side balancing,0.6482516859222057,-1.8406717793368976
970.0,"Scala Street, Fitzrovia",746.0,30.0,636.0,110.0,67.0,279.0,994349.6662198391,24.866666666666667,0.14745308310991956,0.08981233243967829,0.3739946380697051,751,30,25.033333333333335,5.0,0.0033377837116154874,4,Prioritise evening dock relief and destination-side balancing,0.7469798031971748,-2.43504655190126
971.0,"Godliman Street, St. Paul's",1428.0,30.0,957.0,471.0,110.0,528.0,2653853.650560224,47.6,0.32983193277310924,0.07703081232492998,0.3697478991596639,1463,30,48.766666666666666,35.0,0.012102351313969572,4,Prioritise evening dock relief and destination-side balancing,1.8367042316570559,-0.4122057913615953
972.0,"Hampstead Road, Euston",1274.0,30.0,1045.0,229.0,234.0,379.0,1524591.9945054946,42.46666666666667,0.17974882260596547,0.1836734693877551,0.29748822605965464,1284,30,42.8,10.0,0.003907776475185619,4,Prioritise evening dock relief and destination-side balancing,0.8139002802475261,-0.8014017100355518
973.0,"Bethnal Green Road, Shoreditch",2307.0,30.0,1482.0,825.0,313.0,525.0,1355162.2938881665,76.9,0.3576072821846554,0.13567403554399654,0.22756827048114434,2252,31,72.64516129032258,-55.0,0.01206140350877193,1,High-priority core station for monitoring and capacity review,2.1624513055731587,1.6138824794034035
974.0,"Guilford Street , Bloomsbury",1416.0,30.0,1113.0,303.0,180.0,442.0,975168.3262711865,47.2,0.21398305084745764,0.1271186440677966,0.3121468926553672,1354,30,45.13333333333333,-62.0,0.022374594009382895,4,Prioritise evening dock relief and destination-side balancing,1.2695374554112955,-0.8807784871416449
975.0,"Theobald's Road , Holborn",861.0,31.0,693.0,168.0,108.0,282.0,1063707.8466898955,27.774193548387096,0.1951219512195122,0.1254355400696864,0.32752613240418116,835,30,27.833333333333332,-26.0,0.015321154979375369,4,Prioritise evening dock relief and destination-side balancing,0.44232104705132125,-1.6498510154041108
976.0,"Longford Street, The Regent's Park",831.0,31.0,560.0,271.0,111.0,231.0,1136681.8953068592,26.806451612903224,0.32611311672683513,0.13357400722021662,0.2779783393501805,751,30,25.033333333333335,-80.0,0.05053695514845231,2,Standard commuter-period rebalancing,-0.08987661863668209,-0.6327304389934489
978.0,"Russell Square Station, Bloomsbury",1317.0,30.0,892.0,425.0,137.0,347.0,2223192.444191344,43.9,0.32270311313591493,0.10402429764616553,0.26347760060744113,1309,30,43.63333333333333,-8.0,0.0030452988199467074,2,Standard commuter-period rebalancing,0.9612028974322375,0.1505320351057729
979.0,"Wenlock Road , Hoxton",1058.0,30.0,760.0,298.0,319.0,188.0,753825.8827977316,35.266666666666666,0.28166351606805295,0.30151228733459357,0.1776937618147448,908,31,29.29032258064516,-150.0,0.0762582613116421,2,Standard commuter-period rebalancing,-1.0438755072923869,0.3868328195760612
980.0,"Malet Street, Bloomsbury",1501.0,30.0,1133.0,368.0,112.0,549.0,1185431.0059960026,50.03333333333333,0.24516988674217188,0.07461692205196535,0.36575616255829446,1489,30,49.63333333333333,-12.0,0.004012036108324975,4,Prioritise evening dock relief and destination-side balancing,1.966644913867348,-0.9819896748943415
981.0,"British Museum, Bloomsbury",1552.0,31.0,1105.0,447.0,136.0,386.0,1551532.2474226805,50.064516129032256,0.28801546391752575,0.08762886597938144,0.24871134020618557,1567,30,52.233333333333334,15.0,0.004807692307692308,1,High-priority core station for monitoring and capacity review,1.3570265150562981,0.11320856014420133
982.0,"Holborn Circus, Holborn",1530.0,31.0,1315.0,215.0,104.0,753.0,948706.1183006536,49.354838709677416,0.14052287581699346,0.06797385620915032,0.492156862745098,2102,31,67.80645161290323,572.0,0.15744563721442334,4,Prioritise evening dock relief and destination-side balancing,3.001778995519817,-2.928757149070435
